hash,added,accepted,content_type,name,id,map,placename,position,ingame_xy,data
015162ce7a07bd996a9deac3e6189c92af582cdd,2016-12-26 12:06:28,0,Gathering,Rocky Outcrop,31360,214,2002,"{""map"":{""id"":214,""folder"":""d2f3\/00"",""path"":""d2f3\/d2f3.00.png"",""region"":498,""placename"":2002,""zone"":0,""size_factor"":95,""offset_x"":0,""offset_y"":0,""map_marker_range"":164,""hierarchy"":1,""territory_id"":400,""patch"":0},""position"":{""x"":153.1,""y"":-184.6,""z"":-37.9},""ingame"":{""x"":25.6,""y"":18.9},""coordinates"":{""x"":25.94447342722,""y"":19.101431435033}}","25.6,18.9",[]
01a1377f29eed13944ca7c68d0f4ace15286de5a,2016-12-25 00:46:18,0,Gathering,Mature Tree,30565,17,32,"{""map"":{""id"":17,""folder"":""s1f3\/00"",""path"":""s1f3\/s1f3.00.png"",""region"":22,""placename"":32,""zone"":0,""size_factor"":100,""offset_x"":0,""offset_y"":0,""map_marker_range"":76,""hierarchy"":1,""territory_id"":137,""patch"":0},""position"":{""x"":449.6,""y"":360.9,""z"":15.9},""ingame"":{""x"":30.5,""y"":28.7},""coordinates"":{""x"":30.860546875,""y"":29.063159179688}}","30.5,28.7",[]
01a1b2dc0b7f08c190855a119a1bfea83af9e983,2017-11-10 16:22:55,0,Gathering,Carrière De Pierre,32016,354,2410,"{""map"":{""id"":354,""folder"":""e3f2\/00"",""path"":""e3f2\/e3f2.00.png"",""region"":2401,""placename"":2410,""zone"":0,""size_factor"":100,""offset_x"":0,""offset_y"":0,""map_marker_range"":282,""hierarchy"":1,""territory_id"":614,""patch"":32},""position"":{""x"":429,""y"":315.9,""z"":21.6},""ingame"":{""x"":30.1,""y"":27.8},""coordinates"":{""x"":30.443115234375,""y"":28.151293945313}}","30.1,27.8",[]
01ef2f7ee25bdc120fbdaa3da8c09ecbd899d71b,2016-11-19 13:35:22,0,Gathering,Mineral Deposit,30417,21,43,"{""map"":{""id"":21,""folder"":""w1f2\/00"",""path"":""w1f2\/w1f2.00.png"",""region"":24,""placename"":43,""zone"":0,""size_factor"":100,""offset_x"":0,""offset_y"":0,""map_marker_range"":39,""hierarchy"":1,""territory_id"":141,""patch"":0},""position"":{""x"":-30.2,""y"":19.5,""z"":-2.7},""ingame"":{""x"":20.9,""y"":21.9},""coordinates"":{""x"":21.138037109375,""y"":22.145141601562}}","20.9,21.9",[]
01f7f21cda6f38ed611dff18a72d4e7b296e3c9c,2016-12-26 12:56:53,0,Gathering,Mineral Deposit,31357,213,2001,"{""map"":{""id"":213,""folder"":""d2f2\/00"",""path"":""d2f2\/d2f2.00.png"",""region"":498,""placename"":2001,""zone"":0,""size_factor"":95,""offset_x"":0,""offset_y"":0,""map_marker_range"":163,""hierarchy"":1,""territory_id"":399,""patch"":0},""position"":{""x"":132.2,""y"":57.7,""z"":70.1},""ingame"":{""x"":25.2,""y"":23.7},""coordinates"":{""x"":25.520962685033,""y"":24.011319130345}}","25.2,23.7",[]
021b9403074d95f47bd7ec785d8bd0918280f171,2016-12-26 12:56:44,0,Gathering,Mineral Deposit,31300,213,2001,"{""map"":{""id"":213,""folder"":""d2f2\/00"",""path"":""d2f2\/d2f2.00.png"",""region"":498,""placename"":2001,""zone"":0,""size_factor"":95,""offset_x"":0,""offset_y"":0,""map_marker_range"":163,""hierarchy"":1,""territory_id"":399,""patch"":0},""position"":{""x"":639.6,""y"":-132.2,""z"":95.1},""ingame"":{""x"":35.4,""y"":19.9},""coordinates"":{""x"":35.802749794408,""y"":20.163247841283}}","35.4,19.9",[]
024209389374cdd423a9a45f9e190bc0dba65223,2017-12-07 20:08:39,0,Gathering,Arbre Mature,32200,371,2409,"{""map"":{""id"":371,""folder"":""e3f1\/00"",""path"":""e3f1\/e3f1.00.png"",""region"":2401,""placename"":2409,""zone"":0,""size_factor"":100,""offset_x"":0,""offset_y"":0,""map_marker_range"":281,""hierarchy"":1,""territory_id"":613,""patch"":36},""position"":{""x"":-69.4,""y"":-821.6,""z"":3.3},""ingame"":{""x"":20.1,""y"":5.1},""coordinates"":{""x"":20.343701171875,""y"":5.1013671875}}","20.1,5.1",[]
025f20a40082b1fdb5880962ddbf4baf2bce2a81,2016-11-14 18:44:23,0,Gathering,Mineral Deposit,30851,6,56,"{""map"":{""id"":6,""folder"":""f1f3\/00"",""path"":""f1f3\/f1f3.00.png"",""region"":23,""placename"":56,""zone"":0,""size_factor"":100,""offset_x"":0,""offset_y"":0,""map_marker_range"":7,""hierarchy"":1,""territory_id"":153,""patch"":0},""position"":{""x"":179.1,""y"":-8.7,""z"":9.6},""ingame"":{""x"":25.1,""y"":21.3},""coordinates"":{""x"":25.379223632812,""y"":21.573706054687}}","25.1,21.3",[]
026b185556b4f0ba952158b6382c05b73e78cb30,2017-11-10 16:25:32,0,Gathering,Lush Vegetation Patch,32089,354,2410,"{""map"":{""id"":354,""folder"":""e3f2\/00"",""path"":""e3f2\/e3f2.00.png"",""region"":2401,""placename"":2410,""zone"":0,""size_factor"":100,""offset_x"":0,""offset_y"":0,""map_marker_range"":282,""hierarchy"":1,""territory_id"":614,""patch"":32},""position"":{""x"":93.4,""y"":779.8,""z"":-87.9},""ingame"":{""x"":23.4,""y"":37.1},""coordinates"":{""x"":23.642626953125,""y"":37.551611328125}}","23.4,37.1",[]
0280ebe8ab1d728b8ab6890d97e421201198fd70,2016-12-23 00:12:45,0,Gathering,Mature Tree,30648,53,63,"{""map"":{""id"":53,""folder"":""r1f1\/00"",""path"":""r1f1\/r1f1.00.png"",""region"":25,""placename"":63,""zone"":0,""size_factor"":100,""offset_x"":0,""offset_y"":0,""map_marker_range"":102,""hierarchy"":1,""territory_id"":155,""patch"":0},""position"":{""x"":-79.9,""y"":-128.3,""z"":311.4},""ingame"":{""x"":19.9,""y"":18.9},""coordinates"":{""x"":20.130932617188,""y"":19.150170898438}}","19.9,18.9",[]
0287ddd25f04424e37a60a06716db3b0a4800ac0,2016-11-18 20:06:29,0,Gathering,Mineral Deposit,30842,6,56,"{""map"":{""id"":6,""folder"":""f1f3\/00"",""path"":""f1f3\/f1f3.00.png"",""region"":23,""placename"":56,""zone"":0,""size_factor"":100,""offset_x"":0,""offset_y"":0,""map_marker_range"":7,""hierarchy"":1,""territory_id"":153,""patch"":0},""position"":{""x"":169.2,""y"":-138,""z"":17.5},""ingame"":{""x"":24.9,""y"":18.7},""coordinates"":{""x"":25.17861328125,""y"":18.95361328125}}","24.9,18.7",[]
028a7c5a8add5e59bd7fa9d36215e9bdfddcd723,2016-11-14 18:44:23,0,Gathering,Mineral Deposit,30844,6,56,"{""map"":{""id"":6,""folder"":""f1f3\/00"",""path"":""f1f3\/f1f3.00.png"",""region"":23,""placename"":56,""zone"":0,""size_factor"":100,""offset_x"":0,""offset_y"":0,""map_marker_range"":7,""hierarchy"":1,""territory_id"":153,""patch"":0},""position"":{""x"":224.9,""y"":-25.9,""z"":7.9},""ingame"":{""x"":26,""y"":21},""coordinates"":{""x"":26.307299804688,""y"":21.225170898438}}","26,21",[]
028abdd56c31ffb1a3e567b1b7fcc1baf3074526,2017-11-10 16:38:56,0,Gathering,Mature Tree,32239,367,2406,"{""map"":{""id"":367,""folder"":""g3f1\/00"",""path"":""g3f1\/g3f1.00.png"",""region"":2400,""placename"":2406,""zone"":0,""size_factor"":100,""offset_x"":0,""offset_y"":0,""map_marker_range"":277,""hierarchy"":1,""territory_id"":612,""patch"":36},""position"":{""x"":-655.4,""y"":402.3,""z"":40.5},""ingame"":{""x"":8.4,""y"":29.6},""coordinates"":{""x"":8.469189453125,""y"":29.902075195312}}","8.4,29.6",[]
02c6062790a4a04142edd40c6dc4005da5b38c8e,2017-12-07 20:00:50,0,Gathering,Arbre Mature,32113,369,2408,"{""map"":{""id"":369,""folder"":""g3f3\/00"",""path"":""g3f3\/g3f3.00.png"",""region"":2400,""placename"":2408,""zone"":0,""size_factor"":100,""offset_x"":0,""offset_y"":0,""map_marker_range"":279,""hierarchy"":1,""territory_id"":621,""patch"":36},""position"":{""x"":13.4,""y"":137.6,""z"":-371.6},""ingame"":{""x"":21.8,""y"":24.3},""coordinates"":{""x"":22.021533203125,""y"":24.53828125}}","21.8,24.3",[]
02d134ee7ed7965fab5a0ed944a9eecc70c19534,2016-11-20 21:16:02,0,Gathering,Mineral Deposit,31369,215,2100,"{""map"":{""id"":215,""folder"":""a2f1\/00"",""path"":""a2f1\/a2f1.00.png"",""region"":497,""placename"":2100,""zone"":0,""size_factor"":95,""offset_x"":0,""offset_y"":0,""map_marker_range"":165,""hierarchy"":1,""territory_id"":401,""patch"":0},""position"":{""x"":731,""y"":449.5,""z"":-96.6},""ingame"":{""x"":37.2,""y"":31.6},""coordinates"":{""x"":37.654849403783,""y"":31.95062577097}}","37.2,31.6",[]
03022c6bd06d030c77d436ee86c7392e09bf06cf,2016-11-17 19:18:11,0,Gathering,Lush Vegetation Patch,31574,275,1647,"{""map"":{""id"":275,""folder"":""a2fc\/00"",""path"":""a2fc\/a2fc.00.png"",""region"":497,""placename"":1647,""zone"":0,""size_factor"":100,""offset_x"":0,""offset_y"":0,""map_marker_range"":207,""hierarchy"":1,""territory_id"":514,""patch"":0},""position"":{""x"":138.6,""y"":-494,""z"":-49.6},""ingame"":{""x"":24.3,""y"":11.6},""coordinates"":{""x"":24.558544921875,""y"":11.73974609375}}","24.3,11.6",[]
033052bdeee24830c714a26baf605e1a6e580dc4,2016-12-16 07:57:35,0,Gathering,Mature Tree,30354,17,32,"{""map"":{""id"":17,""folder"":""s1f3\/00"",""path"":""s1f3\/s1f3.00.png"",""region"":22,""placename"":32,""zone"":0,""size_factor"":100,""offset_x"":0,""offset_y"":0,""map_marker_range"":76,""hierarchy"":1,""territory_id"":137,""patch"":0},""position"":{""x"":363.4,""y"":593.4,""z"":29.4},""ingame"":{""x"":28.8,""y"":33.4},""coordinates"":{""x"":29.113818359375,""y"":33.774462890625}}","28.8,33.4",[]
03345d0e74bd4ed0acf95d215f187ae0c4fdaacf,2017-06-01 23:16:05,0,Gathering,Mature Tree,30351,17,32,"{""map"":{""id"":17,""folder"":""s1f3\/00"",""path"":""s1f3\/s1f3.00.png"",""region"":22,""placename"":32,""zone"":0,""size_factor"":100,""offset_x"":0,""offset_y"":0,""map_marker_range"":76,""hierarchy"":1,""territory_id"":137,""patch"":0},""position"":{""x"":-87.2,""y"":240.9,""z"":39.9},""ingame"":{""x"":19.8,""y"":26.3},""coordinates"":{""x"":19.9830078125,""y"":26.631518554688}}","19.8,26.3",[]
03a8f1089ef6b69ddab68b67651d4f2bafd977d4,2016-11-17 14:56:25,0,Gathering,Rocky Outcrop,30486,23,45,"{""map"":{""id"":23,""folder"":""w1f4\/01"",""path"":""w1f4\/w1f4.01.png"",""region"":24,""placename"":45,""zone"":0,""size_factor"":100,""offset_x"":0,""offset_y"":0,""map_marker_range"":42,""hierarchy"":1,""territory_id"":146,""patch"":0},""position"":{""x"":-98,""y"":-503.7,""z"":19.9},""ingame"":{""x"":19.5,""y"":11.4},""coordinates"":{""x"":19.76416015625,""y"":11.543188476562}}","19.5,11.4",[]
03ab0e633b690c5d8f80dc00802551949b44fe1c,2017-05-27 11:36:06,0,Gathering,Mineral Deposit,30510,53,63,"{""map"":{""id"":53,""folder"":""r1f1\/00"",""path"":""r1f1\/r1f1.00.png"",""region"":25,""placename"":63,""zone"":0,""size_factor"":100,""offset_x"":0,""offset_y"":0,""map_marker_range"":102,""hierarchy"":1,""territory_id"":155,""patch"":0},""position"":{""x"":334.4,""y"":-252.2,""z"":307.2},""ingame"":{""x"":28.2,""y"":16.5},""coordinates"":{""x"":28.526171875,""y"":16.639501953125}}","28.2,16.5",[]
03d9983b1ea0d968cd0e8c8bf50821f742dd7019,2017-11-10 14:42:42,0,Gathering,Mature Tree,32199,367,2406,"{""map"":{""id"":367,""folder"":""g3f1\/00"",""path"":""g3f1\/g3f1.00.png"",""region"":2400,""placename"":2406,""zone"":0,""size_factor"":100,""offset_x"":0,""offset_y"":0,""map_marker_range"":277,""hierarchy"":1,""territory_id"":612,""patch"":36},""position"":{""x"":-459.4,""y"":-271.7,""z"":84.3},""ingame"":{""x"":12.3,""y"":16.1},""coordinates"":{""x"":12.440869140625,""y"":16.244360351562}}","12.3,16.1",[]
03e1f890ad0abde7291ed92e5048a6f48398dbaf,2016-12-25 02:02:04,0,Gathering,Rocky Outcrop,30481,22,44,"{""map"":{""id"":22,""folder"":""w1f3\/00"",""path"":""w1f3\/w1f3.00.png"",""region"":24,""placename"":44,""zone"":0,""size_factor"":100,""offset_x"":0,""offset_y"":0,""map_marker_range"":41,""hierarchy"":1,""territory_id"":145,""patch"":0},""position"":{""x"":189.1,""y"":-102.5,""z"":9.5},""ingame"":{""x"":25.3,""y"":19.4},""coordinates"":{""x"":25.581860351562,""y"":19.672973632812}}","25.3,19.4",[]
03e43839754e9370e94c3e318234e78c273fed07,2016-11-15 17:04:31,0,Gathering,Mature Tree,31404,215,2100,"{""map"":{""id"":215,""folder"":""a2f1\/00"",""path"":""a2f1\/a2f1.00.png"",""region"":497,""placename"":2100,""zone"":0,""size_factor"":95,""offset_x"":0,""offset_y"":0,""map_marker_range"":165,""hierarchy"":1,""territory_id"":401,""patch"":0},""position"":{""x"":78.9,""y"":580.7,""z"":-145.5},""ingame"":{""x"":24.2,""y"":34.2},""coordinates"":{""x"":24.440908974095,""y"":34.60921952097}}","24.2,34.2",[]
0408b7cc4a7ddb376ea7870be19452f8f75467fa,2017-11-10 14:48:08,0,Gathering,Carrière De Pierre,32155,371,2409,"{""map"":{""id"":371,""folder"":""e3f1\/00"",""path"":""e3f1\/e3f1.00.png"",""region"":2401,""placename"":2409,""zone"":0,""size_factor"":100,""offset_x"":0,""offset_y"":0,""map_marker_range"":281,""hierarchy"":1,""territory_id"":613,""patch"":36},""position"":{""x"":-460.4,""y"":-110.9,""z"":-154.6},""ingame"":{""x"":12.3,""y"":19.3},""coordinates"":{""x"":12.42060546875,""y"":19.502758789063}}","12.3,19.3",[]
041a42f4b1fd533f2114667ccd8dacc32404543b,2016-11-14 20:43:34,0,Gathering,Mineral Deposit,31318,211,2200,"{""map"":{""id"":211,""folder"":""r2f1\/00"",""path"":""r2f1\/r2f1.00.png"",""region"":25,""placename"":2200,""zone"":0,""size_factor"":95,""map_marker_range"":161,""hierarchy"":1,""territory_id"":397,""patch"":0},""position"":{""x"":478.5,""y"":-427.9,""z"":160.8},""ingame"":{""x"":32.2,""y"":14},""coordinates"":{""x"":32.538272255345,""y"":14.171280067845}}","32.2,14",[]
043e5e61982601cde6cc370758ecce728dba1998,2016-12-25 16:15:07,0,Gathering,Rocky Outcrop,30550,18,33,"{""map"":{""id"":18,""folder"":""s1f4\/00"",""path"":""s1f4\/s1f4.00.png"",""region"":22,""placename"":33,""zone"":0,""size_factor"":100,""offset_x"":0,""offset_y"":0,""map_marker_range"":77,""hierarchy"":1,""territory_id"":138,""patch"":0},""position"":{""x"":697.4,""y"":441.2,""z"":16.8},""ingame"":{""x"":35.5,""y"":30.3},""coordinates"":{""x"":35.881884765625,""y"":30.69033203125}}","35.5,30.3",[]
0457bbe8c3c116b25093e3586e6f7ed9fc4c1f48,2016-12-25 16:16:44,0,Gathering,Rocky Outcrop,30459,18,33,"{""map"":{""id"":18,""folder"":""s1f4\/00"",""path"":""s1f4\/s1f4.00.png"",""region"":22,""placename"":33,""zone"":0,""size_factor"":100,""offset_x"":0,""offset_y"":0,""map_marker_range"":77,""hierarchy"":1,""territory_id"":138,""patch"":0},""position"":{""x"":280.2,""y"":109.3,""z"":-8.1},""ingame"":{""x"":27.1,""y"":23.7},""coordinates"":{""x"":27.427880859375,""y"":23.964819335937}}","27.1,23.7",[]
0464dce2806d1ef42eba3eab9a8e7927681baa79,2016-12-26 12:57:09,0,Gathering,Lush Vegetation Patch,31175,213,2001,"{""map"":{""id"":213,""folder"":""d2f2\/00"",""path"":""d2f2\/d2f2.00.png"",""region"":498,""placename"":2001,""zone"":0,""size_factor"":95,""offset_x"":0,""offset_y"":0,""map_marker_range"":163,""hierarchy"":1,""territory_id"":399,""patch"":0},""position"":{""x"":166.8,""y"":73.6,""z"":69.9},""ingame"":{""x"":25.9,""y"":24.1},""coordinates"":{""x"":26.222085731908,""y"":24.333511513158}}","25.9,24.1",[]
046eceaba7f17e9864bd8a5303a80cde779f0c19,2016-11-14 16:55:16,0,Gathering,Mineral Deposit,31329,212,2000,"{""map"":{""id"":212,""folder"":""d2f1\/00"",""path"":""d2f1\/d2f1.00.png"",""region"":498,""placename"":2000,""zone"":0,""size_factor"":95,""offset_x"":0,""offset_y"":0,""map_marker_range"":162,""hierarchy"":1,""territory_id"":398,""patch"":0},""position"":{""x"":288.5,""y"":344.4,""z"":-101.7},""ingame"":{""x"":28.4,""y"":29.5},""coordinates"":{""x"":28.688174599095,""y"":29.820913856908}}","28.4,29.5",[]
04906e17ec6d084bbaa5f95ac43c5bdc200c9c49,2017-11-10 16:42:28,0,Gathering,Filon De Minerai,31960,367,2406,"{""map"":{""id"":367,""folder"":""g3f1\/00"",""path"":""g3f1\/g3f1.00.png"",""region"":2400,""placename"":2406,""zone"":0,""size_factor"":100,""offset_x"":0,""offset_y"":0,""map_marker_range"":277,""hierarchy"":1,""territory_id"":612,""patch"":36},""position"":{""x"":105.6,""y"":-626.7,""z"":62},""ingame"":{""x"":23.6,""y"":9},""coordinates"":{""x"":23.88984375,""y"":9.0507568359375}}","23.6,9",[]
0499defa3353c9748019859e2c064d02c0c86046,2016-11-17 19:31:30,0,Gathering,Mature Tree,31546,275,1647,"{""map"":{""id"":275,""folder"":""a2fc\/00"",""path"":""a2fc\/a2fc.00.png"",""region"":497,""placename"":1647,""zone"":0,""size_factor"":100,""offset_x"":0,""offset_y"":0,""map_marker_range"":207,""hierarchy"":1,""territory_id"":514,""patch"":0},""position"":{""x"":-91.7,""y"":514,""z"":115},""ingame"":{""x"":19.7,""y"":31.8},""coordinates"":{""x"":19.891821289062,""y"":32.16552734375}}","19.7,31.8",[]
04fa28379641cba9c85ac54142b2fbf3ea012222,2016-12-22 23:57:57,0,Gathering,Mineral Deposit,30927,53,63,"{""map"":{""id"":53,""folder"":""r1f1\/00"",""path"":""r1f1\/r1f1.00.png"",""region"":25,""placename"":63,""zone"":0,""size_factor"":100,""offset_x"":0,""offset_y"":0,""map_marker_range"":102,""hierarchy"":1,""territory_id"":155,""patch"":0},""position"":{""x"":502.1,""y"":319.4,""z"":235.8},""ingame"":{""x"":31.6,""y"":27.9},""coordinates"":{""x"":31.924389648437,""y"":28.222216796875}}","31.6,27.9",[]
04fe4f5803f83ed5f683b620419ed7b08ba13e98,2016-12-26 12:03:36,0,Gathering,Concealed Mature Tree,31702,214,2002,"{""map"":{""id"":214,""folder"":""d2f3\/00"",""path"":""d2f3\/d2f3.00.png"",""region"":498,""placename"":2002,""zone"":0,""size_factor"":95,""offset_x"":0,""offset_y"":0,""map_marker_range"":164,""hierarchy"":1,""territory_id"":400,""patch"":0},""position"":{""x"":540.5,""y"":484.9,""z"":23.2},""ingame"":{""x"":33.4,""y"":32.3},""coordinates"":{""x"":33.794619911595,""y"":32.667959755345}}","33.4,32.3",[]
052104097cfb1c39a4446c608aa5a0eee490c8f4,2016-12-16 07:57:35,0,Gathering,Lush Vegetation Patch,30580,17,32,"{""map"":{""id"":17,""folder"":""s1f3\/00"",""path"":""s1f3\/s1f3.00.png"",""region"":22,""placename"":32,""zone"":0,""size_factor"":100,""offset_x"":0,""offset_y"":0,""map_marker_range"":76,""hierarchy"":1,""territory_id"":137,""patch"":0},""position"":{""x"":373,""y"":465,""z"":24.2},""ingame"":{""x"":29,""y"":30.8},""coordinates"":{""x"":29.308349609375,""y"":31.172607421875}}","29,30.8",[]
052a1366efb97f8137543adbb0f5a2ddf254f2d8,2016-12-20 21:58:12,0,Gathering,Rocky Outcrop,30464,19,34,"{""map"":{""id"":19,""folder"":""s1f5\/00"",""path"":""s1f5\/s1f5.00.png"",""region"":22,""placename"":34,""zone"":0,""size_factor"":100,""offset_x"":0,""offset_y"":0,""map_marker_range"":78,""hierarchy"":1,""territory_id"":139,""patch"":0},""position"":{""x"":-422,""y"":144.1,""z"":-1.1},""ingame"":{""x"":13.1,""y"":24.4},""coordinates"":{""x"":13.19873046875,""y"":24.669995117187}}","13.1,24.4",[]
054321bb75fa292e9c12f974339dcc008e509578,2016-12-22 23:10:39,0,Gathering,Mature Tree,30195,4,54,"{""map"":{""id"":4,""folder"":""f1f1\/00"",""path"":""f1f1\/f1f1.00.png"",""region"":23,""placename"":54,""zone"":0,""size_factor"":100,""offset_x"":0,""offset_y"":0,""map_marker_range"":5,""hierarchy"":1,""territory_id"":148,""patch"":0},""position"":{""x"":364.7,""y"":-110.1,""z"":2.7},""ingame"":{""x"":28.8,""y"":19.3},""coordinates"":{""x"":29.140161132813,""y"":19.518969726562}}","28.8,19.3",[]
057a22f87565b40687aab128392ac023751370f9,2016-12-25 16:15:59,0,Gathering,Unspoiled Lush Vegetation Patch,31028,18,33,"{""map"":{""id"":18,""folder"":""s1f4\/00"",""path"":""s1f4\/s1f4.00.png"",""region"":22,""placename"":33,""zone"":0,""size_factor"":100,""offset_x"":0,""offset_y"":0,""map_marker_range"":77,""hierarchy"":1,""territory_id"":138,""patch"":0},""position"":{""x"":668.6,""y"":367,""z"":38.9},""ingame"":{""x"":34.9,""y"":28.8},""coordinates"":{""x"":35.298291015625,""y"":29.186767578125}}","34.9,28.8",[]
