Item,r1,r2,r3,r4,r5
Sycorax,Fine Sand,Water Crystal,,,
Thorned Lizard,Fine Sand,Water Crystal,,,
Toffee Snail,Fine Sand,Water Crystal,Yellow Pigment,,
Treescale,Fine Sand,Water Crystal,,,
Viola Clam,,Water Crystal,Purple Pigment,,
Vicejaw,Fine Sand,Water Crystal,,,
Voeburt Salamander,,Water Crystal,Green Pigment,,
Wandering Catfish,,,,,
Wardenfish,Fine Sand,Water Crystal,Purple Pigment,,Quickarm Materia V
Water Ball,Fine Sand,Water Crystal,,,
Watts Trout,,Water Crystal,Brown Pigment,,
Weedy Seadragon,,Water Crystal,Yellow Pigment,,
Wild Red Betta,,Water Crystal,Red Pigment,,
Wimple Carp,Fine Sand,Water Crystal,,,
Winged Hatchetfish,Fine Sand,Water Crystal,Grey Pigment,,
Xanthic Bass,Fine Sand,Water Crystal,Yellow Pigment,,
Yellow Pipira,Fine Sand,Water Crystal,Yellow Pigment,Nightworld Bronze Piece,Potent Paralyzing Potion
